RS1_R,RS3_R
Un homme,Retraité·e
Une femme,Retraité·e
Une femme,Retraité·e
Un homme,"Actif, active (ayant un emploi, y compris en congés ou en arrêt)"
Une femme,Retraité·e
Un homme,"Actif, active (ayant un emploi, y compris en congés ou en arrêt)"
Une femme,Retraité·e
Un homme,Retraité·e
Un homme,Retraité·e
Un homme,Retraité·e
Une femme,Retraité·e
Une femme,Retraité·e
Une femme,"Actif, active (ayant un emploi, y compris en congés ou en arrêt)"
Une femme,Retraité·e
Une femme,"Actif, active (ayant un emploi, y compris en congés ou en arrêt)"
Un homme,Retraité·e
Une femme,Retraité·e
Une femme,Retraité·e
